Series Code,Series Name,Country Code,Country Name,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
EGEGYPRODKTOE,Energy production (kt of oil equivalent),ANT,Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGEGYPRODKTOE,Energy production (kt of oil equivalent),ARM,Armenia,,,,,,,,,,,,,,,,,,,,137,135,263,370,303,245,742,539,547,646,632,602,738,692,746,861,846,825
EGEGYPRODKTOE,Energy production (kt of oil equivalent),BWA,Botswana,,,,,,,,,,,604,638,638,651,692,739,726,868,915,910,976,1041,1051,1067,1059,973,993,1115,1112,1127,1095,1120,1029,1009,1052,1078,1107
EGEGYPRODKTOE,Energy production (kt of oil equivalent),EAP,East Asia & Pacific (developing only),531707.6394,564364.2068,596161.9491,615407.7118,668930.695,701834.806,763518.6473,819762.5901,844425.0125,846976.2278,848177.5724,868239.724,910273.6497,986230.1519,1015113.952,1050290.055,1075181.727,1117108.626,1175594.026,1225447.921,1258539.723,1282156.424,1316009.178,1389529.159,1475699.072,1526451.221,1541178.448,1528393.593,1529933.61,1537253.467,1574145.466,1666734.566,1834285.561,2033587.454,2198592.542,2338979.494,2460338.036
EGEGYPRODKTOE,Energy production (kt of oil equivalent),EAS,East Asia & Pacific (all income levels),648829.9562,690409.4754,729461.2062,751386.3802,814118.1555,854508.7271,925009.4495,986562.4739,1021568.112,1028581.475,1039919.305,1070703.465,1128804.87,1223554.619,1274089.993,1323759.507,1368748.844,1396401.477,1465159.072,1536137.182,1584241.548,1613529.547,1657783.121,1733136.113,1844619.789,1904370.187,1936965.285,1944955.305,1945199.151,1978025.903,2030864.282,2124622.052,2282732.814,2500399.912,2688058.712,2832303.78,2961753.492
EGEGYPRODKTOE,Energy production (kt of oil equivalent),ECA,Europe & Central Asia (developing only),,,,,,,,,,,,,,,,,,,,1756722.038,1654385.613,1531732.524,1443010.98,1327990.034,1293293.373,1287784.329,1247297.213,1256378.472,1286162.961,1337382.749,1377681.59,1428772.189,1521130.043,1587354.74,1638481.391,1687151.456,1722824.543
EGEGYPRODKTOE,Energy production (kt of oil equivalent),ECS,Europe & Central Asia (all income levels),,,,,,,,,,,,,,,,,,,,2781542.458,2689139.989,2572682.707,2496803.594,2409144.821,2408411.094,2451815.06,2411617.268,2389282.158,2427715.203,2486456.352,2523379.902,2579870.823,2665348.437,2725478.961,2738476.827,2762075.188,2776864.828
EGEGYPRODKTOE,Energy production (kt of oil equivalent),EMU,Euro area,319154.6927,326894.6935,333409.1438,345684.7891,352520.4806,357000.7387,362649.1468,358955.3759,374416.244,381586.2681,400664.3731,399501.2582,413875.5454,442386.4616,469831.9445,469203.5604,472119.9073,473595.2002,486311.9227,477050.3059,471998.56,468659.7451,465457.0042,455737.7212,459630.8373,471834.4708,462549.4238,448098.5689,447649.3247,448875.9914,453307.4002,454814.2192,457816.8513,470740.8763,459432.7297,462340.3038,459871.9675
EGEGYPRODKTOE,Energy production (kt of oil equivalent),ERI,Eritrea,,,,,,,,,,,,,,,,,,,,,,708,708,708,730,755,779,482,496,508,531,547,564,482,500,515,530
EGEGYPRODKTOE,Energy production (kt of oil equivalent),GIB,Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGEGYPRODKTOE,Energy production (kt of oil equivalent),HIC,High income,2845782.62,2996784.77,3128591.526,3133397.197,3061304.054,3196614.756,3308375.145,3334844.232,3566509.889,3592611.098,3564894.861,3384923.26,3313448.639,3482643.613,3496656.362,3621904.969,3676408.65,3780096.928,3822383.796,3890867.885,3989590.077,4090928.161,4130030.595,4248009.49,4325681.715,4431270.873,4471311.725,4502000.616,4443033.32,4545704.521,4575832.576,4550863.807,4601018.833,4680203.402,4705079.537,4739851.345,4728768.549
EGEGYPRODKTOE,Energy production (kt of oil equivalent),HPC,Heavily indebted poor countries (HIPC),71420.38158,75763.58034,80859.63823,83074.01369,83632.95457,87556.94766,88335.47246,90726.65575,95500.46711,101211.0748,106823.2975,111791.0271,115127.5619,122630.4877,125592.0188,126835.3771,128811.6323,131033.1371,133562.6298,135584.5129,137722.6666,140140.0725,141853.5731,145215.7318,148751.7239,154976.6152,159754.2745,163236.461,170861.6769,182100.1442,188144.3039,194774.8065,196989.1129,216469.4907,225846.8369,237056.332,244725.6961
EGEGYPRODKTOE,Energy production (kt of oil equivalent),KHM,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,2901,2959,3018,3078,3140,3203,3264,3325,3384,3441,3501,3562,3624
EGEGYPRODKTOE,Energy production (kt of oil equivalent),LAC,Latin America & Caribbean (developing only),383915.2634,373685.1425,394491.2675,382013.4073,352726.6284,358896.3819,372665.5391,392583.396,432634.6602,463600.7269,489414.6384,510824.3044,516250.1584,541140.7123,541872.581,547149.0536,562766.9312,575361.0883,584412.1988,608560.8583,632650.3669,641124.0029,658106.3645,681234.4181,709306.0945,764975.2363,803836.4619,821409.3313,806930.3617,829383.6925,837405.174,833222.4943,840952.2308,883261.2599,915723.1459,925621.4195,920074.2557
EGEGYPRODKTOE,Energy production (kt of oil equivalent),LCN,Latin America & Caribbean (all income levels),403325.9177,393423.3508,416088.2864,404175.7109,375406.4956,381780.9765,397059.7235,417917.8171,458400.5665,490444.1674,516045.2213,538027.4347,542839.4923,569422.3462,570625.8763,575770.0133,591286.9911,604675.3605,613889.0173,639014.6408,663400.8203,672246.3021,688967.8413,713464.3702,742277.9315,800233.0084,840162.9796,859265.7963,846658.1229,871640.3954,880374.4965,879143.1213,894832.3266,938902.9775,974358.1271,987862.0024,984593.8047
EGEGYPRODKTOE,Energy production (kt of oil equivalent),LDC,Least developed countries: UN classification,85889.68909,89724.89792,93002.47702,95164.79665,95949.75745,99490.77314,100702.314,101209.1286,104471.998,107195.9591,107845.8585,110478.8872,116182.2225,120778.3218,126476.3081,132342.7869,139177.4286,157565.8375,161532.096,166392.9691,171193.6664,175799.1264,176621.1148,192484.9603,200742.0872,208257.5506,214084.3511,221986.093,234174.7418,250541.9831,258035.2616,2.76E+05,282557.4137,299269.1735,325694.0075,341720.6453,372056.5479
EGEGYPRODKTOE,Energy production (kt of oil equivalent),LIC,Low income,106287.6805,109046.0066,111941.1652,114910.8365,117701.6773,123910.6206,127502.1347,130313.2971,135026.5665,139738.4812,143022.4608,147792.6309,150294.9041,154668.1245,161138.5398,164070.2774,165567.3061,168225.3787,171142.2137,172766.5914,174183.5046,171547.2349,169664.2598,171180.2695,172433.4174,172476.7136,173956.4244,177320.7925,186975.8414,194401.1368,200443.5013,204463.6792,212085.0809,222316.9878,234611.8305,239807.3725,242337.6524
EGEGYPRODKTOE,Energy production (kt of oil equivalent),LMC,Lower middle income,1037827.346,1087098.232,1183134.958,1223567.387,1291997.207,1364374.133,1439441.074,1514144.932,1623032.3,1581768.661,1468994.7,1503561.847,1564202.499,1693728.538,1761937.996,1826391.983,1896310.8,2021977.95,2134296.505,2165717.568,2116548.996,2135737.615,2185915.955,2252237.501,2358870.249,2426559.966,2486618.532,2521794.311,2564939.509,2620647.916,2678256.057,2762110.122,2941363.638,3214377.621,3407347.074,3590877.257,3755658.769
EGEGYPRODKTOE,Energy production (kt of oil equivalent),LMY,Low & middle income,2919287.767,3001778.87,3230037.755,3238999.648,3248441.671,3463959.384,3598767.565,3714963.415,3799274.686,3628271.57,3482082.324,3655904.227,3778609.94,4010328.234,4128747.898,4216220.965,4390676.752,4589346.148,4822890.356,4951608.128,4876610.43,4813222.849,4809543.292,4826556.176,4959439.638,5096067.576,5187654.728,5265825.324,5321015.348,5457320.3,5557562.249,5684572.508,6023430.894,6434536.788,6767953.02,7019561.778,7226333.261
EGEGYPRODKTOE,Energy production (kt of oil equivalent),MEA,Middle East & North Africa (all income levels),1052854.629,1142967.57,1301845.248,1297859.077,1192500.017,1358498.817,1379807.596,1342545.034,1383104.3,1214268.777,1053617.895,901182.9942,843166.6657,845789.0668,794996.9782,895211.3198,930666.3045,1037126.288,1137115.188,1174269.577,1193516.02,1282162.075,1342305.44,1355291.077,1382751.478,1402007.02,1463293.768,1548353.987,1524938.391,1612419.833,1596389.218,1571016.426,1676147.011,1770410.909,1864281.547,1901098.259,1904748.793
EGEGYPRODKTOE,Energy production (kt of oil equivalent),MIC,Middle income,2813759.459,2893549.447,3119762.61,3125371.521,3131668.157,3341271.924,3472715.75,3586337.736,3665717.884,3488362.641,3337595.782,3506919.333,3627440.59,3855437.085,3967102.693,4051702.943,4225407.58,4422130.604,4653624.635,4781193.266,4705676.379,4644796.698,4642599.583,4658314.231,4789239.131,4924895.118,5014685.206,5089662.62,5136849.803,5266355.88,5361138.497,5484102.502,5814616.907,6214821.575,6536240.831,6782020.02,6985374.284
EGEGYPRODKTOE,Energy production (kt of oil equivalent),MKD,FYR Macedonia,,,,,,,,,,,,,,,,,,,,1257,1348,1536,1514,1513,1595,1568,1492,1748,1633,1535,1575,1513,1666,1598,1578,1617,1501
EGEGYPRODKTOE,Energy production (kt of oil equivalent),MLT,Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
EGEGYPRODKTOE,Energy production (kt of oil equivalent),MNA,Middle East & North Africa (developing only),537973.8978,541659.7053,610598.8948,581558.2169,569247.5388,640887.7626,637779.4455,635611.3235,588617.7844,435394.3695,314174.0573,367675.002,378452.7975,386828.4354,407828.8251,401268.7362,462867.7181,500882.8003,560732.0874,558633.8721,503985.0385,516398.0438,534866.5938,545657.5602,564260.858,570357.9415,614269.5051,672704.4472,698534.4808,722659.3979,715715.3284,698055.2651,712989.9787,761359.3635,803480.7068,819352.576,836818.1163
