Aruba,,,N,
Afghanistan,,,N,
Angola,,,Y,
Anguilla,,,N,
Albania,,,Y,
Åland Islands,,,N,
Andorra,,,N,
United Arab Emirates,,,Y,
Argentina,,,Y,
Armenia,,,Y,
American Samoa,,,N,
Antarctica,,,N,
Australia,,,Y,
French Southern Territories,,,N,
Antigua and Barbuda,,,N,
Australia,,,Y,x2?
Austria,,,Y,
Azerbaijan,,,Y,
Burundi,,,N,
Belgium,,,Y,
Benin,,,Y,
Burkina Faso,,,N,
Bangladesh,,,Y,
Bulgaria,,,Y,
Bahrain,,,Y,
Bahamas,,,N,
Bosnia and Herzegovina,,,Y,
Saint Barthélemy,,,N,
Belarus,,,Y,
Belize,,,N,
Bermuda,,,N,
Bolivia,,,Y,Need to remove the text
Brazil,,,Y,
Barbados,,,N,
Brunei Darussalam,,,Y,
Bhutan,,,N,
Botswana,,,Y,
Central African Republic,,,N,
Canada,,,Y,
Switzerland,,,Y,
Chile,,,Y,
China,,,Y,
Cote d'Ivoire,,,Y,Need to fix 
Cameroon,,,Y,
Democratic Republic of the Congo,,,Y,Need to fix
Republic of the Congo,,,Y,Need to fix
Cook Islands,,,,
Colombia,,,Y,
Comoros,,,,
Cape Verde,,,,
Costa Rica,,,Y,
Cuba,,,Y,
Curaçao,,,,
Cayman Islands,,,,
Northern Cyprus,,,,
Cyprus,,,Y,
Czech Republic,,,Y,
Germany,,,Y,
Djibouti,,,,
Dominica,,,,
Denmark,,,Y,
Dominican Republic,,,Y,
Algeria,,,Y,
Ecuador,,,Y,
Egypt,,,Y,
Eritrea,,,Y,
Spain,,,Y,
Estonia,,,Y,
Ethiopia,,,Y,
Finland,,,Y,
Fiji,,,,
Falkland Islands (Malvinas),,,,
France,,,Y,
Franch Guyana,,,,
Faroe Islands,,,,
Micronesia, Federated States of,,,
Gabon,,,Y,
United Kingdom,,,Y,
Georgia,,,Y,
Guernsey,,,,
Ghana,,,Y,
Guinea,,,,
Gambia,,,,
Guinea-Bissau,,,,
Equatorial Guinea,,,,
Greece,,,Y,
Grenada,,,,
Greenland,,,,
Guatemala,,,Y,
Guam,,,,
Guyana,,,,
Hong Kong,,,Y,
Heard Island and McDonald Islands,,,,
Honduras,,,Y,
Croatia,,,Y,
Haiti,,,Y,
Hungary,,,Y,
Indonesia,,,Y,
Isle of Man,,,,
India,,,Y,
Cocos Islands,,,,
Christmas Island,,,,
British Indian Ocean Territory,,,,
Ireland,,,Y,
Iran,,,Y,fix Text
Iraq,,,Y,
Iceland,,,Y,
Israel,,,Y,
Italy,,,Y,
Jamaica,,,Y,
Jersey,,,,
Jordan,,,Y,
Japan,,,Y,
Siachen Glacier,,,,
Kazakhstan,,,Y,
Kenya,,,Y,
Kyrgyzstan,,,Y,
Cambodia,,,Y,
Kiribati,,,,
Saint Kitts and Nevis,,,,
South Korea,,,Y,Edit text
